epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1365.39,0.46596,0.30336,0.83765,0.92089,0.93956,0.95088,0.82775,0.53383,0.35146,0.82592,0.000458,0.000458,0.000458
66,1386.24,0.46046,0.30068,0.84272,0.92103,0.93109,0.94614,0.82816,0.53521,0.35691,0.83119,0.000445625,0.000445625,0.000445625
67,1407.33,0.46069,0.29876,0.84343,0.92701,0.93433,0.95291,0.83628,0.53106,0.35472,0.83081,0.00043325,0.00043325,0.00043325
68,1428.03,0.45906,0.29506,0.84094,0.94786,0.92053,0.94933,0.83365,0.52951,0.36113,0.82554,0.000420875,0.000420875,0.000420875
69,1449,0.45859,0.29862,0.84467,0.95411,0.92152,0.95178,0.83745,0.53066,0.35719,0.82261,0.0004085,0.0004085,0.0004085
70,1470.06,0.45341,0.29175,0.84096,0.91946,0.93465,0.95072,0.83666,0.52924,0.35646,0.83188,0.000396125,0.000396125,0.000396125
71,1491,0.45357,0.28944,0.84535,0.92299,0.93597,0.95039,0.83732,0.52417,0.34256,0.83166,0.00038375,0.00038375,0.00038375
72,1512.11,0.44405,0.28745,0.83349,0.93428,0.92995,0.95478,0.83999,0.53784,0.35551,0.82808,0.000371375,0.000371375,0.000371375
73,1533.33,0.4422,0.27992,0.83691,0.92809,0.94275,0.95562,0.84359,0.52535,0.33035,0.8231,0.000359,0.000359,0.000359
74,1554.43,0.43832,0.28024,0.83505,0.91982,0.93771,0.95235,0.8342,0.53728,0.34674,0.83135,0.000346625,0.000346625,0.000346625
75,1575.27,0.43837,0.28115,0.83402,0.93975,0.92135,0.95463,0.84421,0.52758,0.33963,0.82685,0.00033425,0.00033425,0.00033425
76,1596.42,0.42774,0.27536,0.83116,0.92989,0.92484,0.95677,0.842,0.53559,0.35013,0.83179,0.000321875,0.000321875,0.000321875
77,1617.23,0.42901,0.27491,0.83402,0.9266,0.93483,0.95075,0.84496,0.52765,0.35028,0.82793,0.0003095,0.0003095,0.0003095
78,1638.3,0.422,0.27068,0.83136,0.93217,0.92222,0.95361,0.84129,0.53132,0.3528,0.83171,0.000297125,0.000297125,0.000297125
79,1658.84,0.42683,0.27386,0.83366,0.92925,0.93951,0.9549,0.84357,0.52321,0.33963,0.82859,0.00028475,0.00028475,0.00028475
