epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1382.81,0.43007,0.27774,0.83662,0.93271,0.935,0.95708,0.84649,0.53265,0.33864,0.82658,0.00033425,0.00033425,0.00033425
76,1401.1,0.42605,0.27476,0.83128,0.93779,0.93395,0.95856,0.8472,0.52893,0.32885,0.82946,0.000321875,0.000321875,0.000321875
77,1419.25,0.43067,0.27345,0.83349,0.94812,0.93276,0.95776,0.84779,0.51657,0.32331,0.82162,0.0003095,0.0003095,0.0003095
78,1437.37,0.42326,0.26691,0.83411,0.93346,0.93446,0.95699,0.84619,0.51785,0.32741,0.82438,0.000297125,0.000297125,0.000297125
79,1455.41,0.42205,0.27224,0.83482,0.92237,0.93776,0.96302,0.84659,0.52293,0.33726,0.82496,0.00028475,0.00028475,0.00028475
80,1474.38,0.42012,0.26979,0.83105,0.95052,0.92959,0.96399,0.84697,0.52779,0.32555,0.82068,0.000272375,0.000272375,0.000272375
81,1492.69,0.42498,0.2706,0.83545,0.93765,0.93524,0.95696,0.85161,0.51109,0.32547,0.81829,0.00026,0.00026,0.00026
82,1510.88,0.41434,0.26864,0.83129,0.954,0.93053,0.96414,0.85176,0.51464,0.31856,0.81925,0.000247625,0.000247625,0.000247625
83,1529.39,0.41491,0.26482,0.82978,0.9308,0.93922,0.95983,0.85379,0.50632,0.32356,0.81609,0.00023525,0.00023525,0.00023525
84,1547.78,0.40657,0.2599,0.82673,0.94534,0.91588,0.95758,0.84888,0.51673,0.32959,0.82521,0.000222875,0.000222875,0.000222875
85,1566.27,0.40494,0.26199,0.83132,0.9425,0.93186,0.95788,0.85107,0.51144,0.32045,0.81942,0.0002105,0.0002105,0.0002105
86,1584.44,0.40445,0.26033,0.83216,0.94794,0.92578,0.95795,0.85218,0.51122,0.32401,0.82179,0.000198125,0.000198125,0.000198125
87,1602.6,0.40255,0.25802,0.82712,0.92533,0.9401,0.9574,0.85641,0.51378,0.3274,0.82291,0.00018575,0.00018575,0.00018575
88,1620.9,0.39385,0.25289,0.82395,0.94291,0.9266,0.956,0.85435,0.51085,0.3256,0.82468,0.000173375,0.000173375,0.000173375
89,1638.95,0.40022,0.25295,0.82704,0.93308,0.93551,0.96017,0.85609,0.51031,0.31678,0.82122,0.000161,0.000161,0.000161
90,1657,0.38964,0.25011,0.825,0.95095,0.92376,0.95921,0.85021,0.51314,0.32227,0.82263,0.000148625,0.000148625,0.000148625
